Temperature,Humidity,Pressure,AirSpeed,RainToday,RainfallTomorrow
29.4,48,1007.7,74,0,0
25.1,56,1009.8,44,0,1
20.9,55,1016.1,35,1,0
24.2,51,1015.6,33,0,0
27.7,50,1009.6,46,0,0
18,51,1006.9,57,0,0
14.4,44,1007.7,52,0,0
15,47,1011.5,50,0,0
18.5,52,1011.8,48,0,0
22.4,39,1010.7,56,0,0
26,40,1008.8,69,0,0
25,43,1006.7,43,0,0
21.5,50,1013.2,28,0,0
22.8,47,1011.4,35,0,0
22.9,35,1010,39,0,0
24.2,45,1011.4,43,0,0
23.1,51,1008.5,35,0,0
23.1,46,1009,35,0,0
23.5,48,1015.3,46,0,0
26.6,39,1014.2,44,0,0
25.2,46,1014,67,0,1
22.9,61,1016.1,39,1,0
24.3,36,1014,57,0,0
26.3,51,1010.8,44,0,1
22.1,83,1009.9,33,1,1
22.6,55,1016.4,43,1,0
23.2,53,1020.8,37,0,0
25.9,66,1020.8,37,0,0
25.2,64,1018.8,46,NA,0
23.4,81,1008.5,24,NA,0
21.2,82,1009.9,24,0,0
21.7,80,1006.8,41,0,0
19.7,76,1008.6,52,0,0
20.6,48,1014.7,31,0,0
21,33,1020.4,31,NA,0
20.8,54,1023.6,26,0,0
19.6,70,1018.9,57,0,0
23.8,71,1015.3,59,0,1
21.3,83,1014.6,46,1,0
15.2,56,1017.3,31,0,0
17.9,57,1020.3,24,0,0
19.5,61,1023.9,22,0,0
20.8,70,1019.4,26,NA,1
19.9,84,1016.7,39,1,0
16.6,58,1019.3,28,NA,0
17.8,61,1018.6,19,0,0
20.1,70,1014.2,NA,0,0
20.9,74,1008.8,37,0,1
22.3,87,1010,39,1,1
19,89,1013.3,39,1,1
19.8,79,1008.7,56,1,1
16.3,90,1014.4,46,1,0
15.2,56,1031.4,28,NA,0
14.2,72,1036.3,20,0,0
15,80,1035.2,24,0,0
15.6,75,1030,24,0,0
16.2,72,1025.5,22,0,0
16.1,73,1023.8,46,0,0
17.6,76,1025.6,19,0,0
18.9,73,1025.4,48,0,0
17.7,79,1020.4,33,0,0
19.4,77,1020.2,35,0,0
20.2,78,1018.7,44,0,0
13,69,1020.8,30,0,0
12.1,79,1021.2,31,0,0
13.3,81,1022,22,0,0
15.4,75,1021.8,24,0,0
15.8,80,1019.2,24,0,0
18.3,73,1019.8,20,0,0
19.4,79,1016.4,39,0,1
18.2,94,1015.8,26,1,0
17.5,91,1019.6,28,0,0
16.5,71,1021.2,28,0,0
14.6,82,1020,26,0,0
15.3,78,1019.8,20,0,0
15.5,71,1020.7,26,0,0
18.3,58,1022.1,20,0,0
15.5,76,1020.7,17,0,0
15.7,75,1017.9,33,0,1
19.2,87,1012.8,30,1,1
17.5,84,1016.7,46,1,0
15.7,73,1016.1,22,0,0
16.7,84,1011.6,22,0,1
15.9,86,1010.1,57,1,0
11,71,1018.1,41,0,0
10.1,82,1023.8,19,0,0
12.5,81,1023.6,19,0,0
13.3,79,1022.6,17,0,0
13.6,79,1026.5,19,0,0
15.8,74,1027.8,17,0,0
16.8,67,1027.1,17,0,0
14.6,81,1025.7,17,0,0
16.4,79,1024.6,26,0,0
18.5,74,1022.8,20,0,0
17.8,74,1023.6,17,0,0
15.4,89,1020.5,35,0,1
17.1,95,1013.4,46,1,1
14.4,72,1016.2,37,1,0
10.4,78,1026.5,15,0,0
9.7,84,1020.9,17,0,1
12.4,84,1022,30,1,0
14.3,79,1021.9,28,0,0
9.4,99,1026.8,13,0,0
11.7,84,1027.9,22,0,0
10,97,1026.7,15,0,0
12.7,83,1027.1,30,0,0
11.9,92,1017.8,61,0,1
9.3,84,1016.1,39,1,0
10.8,78,1022.3,35,0,0
10.2,89,1024.7,20,0,0
13,84,1023.7,13,0,0
9.2,99,1023.4,17,0,0
8.1,99,1020.8,17,0,0
10.7,77,1012.5,43,0,0
6,81,1022.8,28,0,0
6.4,79,1024.1,30,0,0
5.7,99,1021.2,15,0,0
8.1,83,1019.9,13,0,0
8.2,84,1021.6,13,0,0
9.2,92,1021.1,48,0,0
7.4,90,1020.9,17,0,0
6.6,86,1024.1,28,0,0
6.8,88,1023.8,13,0,0
7.6,92,1022.3,15,0,0
6.3,76,1023.3,22,0,0
6.6,76,1023.5,24,0,0
10.3,74,1017.6,20,0,1
13.5,88,1008.7,26,1,1
14.9,71,1008.9,30,1,0
9.7,92,1019.6,11,0,0
9.4,96,1019.4,22,0,1
12.1,99,1005.7,26,1,1
10.8,99,1004.7,46,1,0
15,54,1015.2,48,0,0
8.3,89,1020.7,13,0,0
8.6,93,1022.3,13,0,0
8.9,79,1026.5,17,0,0
8.7,82,1023.6,19,0,0
5.1,99,1018.7,17,0,0
6.2,97,1020.6,13,0,0
4.2,80,1026.7,17,0,0
5.3,89,1023.7,19,0,0
7.8,81,1012.9,37,0,1
7.2,85,1021.2,44,1,0
9.2,82,1023,28,0,0
3.3,95,1025.4,22,0,0
4.1,83,1031.8,11,0,0
2.2,85,1035.2,17,0,0
3.4,92,1032.3,11,0,0
7.4,91,1027.4,52,0,1
13,82,1010,94,1,1
6.9,88,1019.6,24,1,1
10.3,95,1019.4,35,1,0
7.7,98,1027.2,39,0,0
7.4,99,1034.5,17,0,0
6.1,94,1037.3,15,0,0
7.2,89,1036.9,20,0,0
8.3,85,1030.1,24,0,0
12.1,83,1021.9,31,0,1
7.6,86,1020.5,35,1,0
2.8,99,1024.3,22,0,0
2.3,99,1022.7,52,0,0
6.5,71,1021.2,20,0,0
6.3,81,1020.7,24,0,1
5.5,99,1025.2,13,1,0
3.2,99,1027.6,19,0,0
3.7,99,1030.5,11,0,0
3.1,99,1032.5,13,0,0
2.4,99,1027.5,22,0,1
6.7,94,1020.9,35,1,0
3,99,1026.9,50,0,0
4.1,99,1029.5,13,0,0
4.8,90,1030.9,15,0,0
5,96,1024.1,46,0,1
11.8,99,1020.6,28,1,0
5.9,99,1024.3,13,0,0
6.2,98,1016.8,59,0,1
8.5,82,1009.2,57,1,1
6.9,85,1020.2,43,1,0
2.9,99,1028.7,48,0,0
2.8,99,1029.2,15,0,0
5.2,96,1023.1,24,0,1
7.7,99,1018.8,20,1,0
3.1,99,1025.4,19,0,0
2.9,99,1029.3,17,0,0
4,89,1032.7,19,0,0
4.1,99,1035.5,17,0,0
4.5,99,1032.1,22,0,0
4.5,99,1031.7,20,0,0
3.7,99,1035.9,19,0,0
4,85,1036.1,15,0,0
5.8,80,1027.8,15,0,1
10.3,99,1018.5,20,1,0
11.1,91,1015.5,30,0,1
11.1,100,1013.7,30,1,1
9.3,86,1016.3,41,1,1
7.8,85,1019.5,39,1,0
6.4,86,1023.2,28,0,0
6.7,97,1019.5,28,NA,0
3.2,99,1024.5,22,0,0
4.6,83,1026.9,15,0,0
4.3,86,1022.2,15,0,0
6,79,1022.4,31,0,1
9.7,86,1013.9,41,1,1
7.7,96,1006.2,33,1,1
9.2,91,1005.7,50,1,0
6.5,99,1016.7,20,0,0
8.9,85,1014.4,41,0,1
10.7,83,1004.5,46,1,1
7.7,94,1013.8,56,1,1
4.5,87,1024.1,15,1,0
5,92,1016.9,31,0,1
11.6,85,1008.2,57,1,1
6.4,82,1015.7,46,1,0
7,86,1018.7,39,0,0
7.6,87,1024,26,0,0
6.4,91,1017.7,17,0,1
9.4,90,1013.2,67,1,1
5.4,87,1010.9,65,1,1
7.3,84,1003.1,50,1,1
9,75,1009.5,43,1,0
4.1,99,1024.4,22,0,0
7.1,85,1029.6,15,0,0
7.4,84,1028.9,20,0,0
7.2,89,1024.8,20,0,0
11.2,86,1015.8,17,0,0
10.9,92,1016.5,33,0,0
10.2,65,1022.1,26,0,1
15.1,96,1004.7,70,1,1
10.6,81,1011.7,72,1,1
9.5,89,1019.7,50,1,1
8,83,1026.2,52,1,0
8.8,74,1026.9,24,0,0
11.1,76,1015.6,39,0,1
10.9,91,1004.5,50,1,1
8.4,88,1020.2,35,1,0
10.2,84,1022.5,22,0,0
11.4,88,1017.1,31,0,0
12.2,76,1014.7,46,0,0
9.5,68,1015.2,43,0,0
10.2,64,1019.2,54,0,0
8.8,76,1024,39,0,0
9.8,67,1021.8,31,0,0
9,90,1022.7,30,0,0
10,79,1026.1,24,0,0
11.9,81,1025.2,24,0,0
14.7,70,1025.8,26,0,0
12.1,76,1024.4,28,0,0
9,96,1023.9,33,0,0
12.1,84,1018.6,28,0,0
13.2,75,1020.5,24,0,0
11.9,83,1014.1,43,0,0
10.4,65,1016,39,0,0
9.4,66,1021.4,39,0,0
9.5,59,1026.3,28,0,0
9.9,71,1027.5,20,0,0
13.7,61,1028.2,37,0,0
13.4,72,1028.4,35,0,0
13.2,85,1024.6,35,0,0
16.3,78,1021.9,24,0,0
17.4,80,1019.8,69,0,1
10,64,1020,46,1,0
10.9,59,1025.3,30,0,0
9.9,83,1025.7,17,0,0
14.8,71,1029.4,39,0,0
15.4,60,1030.9,37,0,0
14.7,91,1027.7,31,0,1
16.2,92,1017.9,30,1,1
14,92,1013.6,24,1,1
18.5,93,989.8,63,1,1
6.4,72,1004.6,52,1,0
9.5,77,1016.1,35,0,0
12.5,74,1019.9,39,0,0
10.9,78,1026,22,0,0
11.9,80,1028.7,20,0,0
13.5,75,1024.5,20,0,0
14.9,77,1020.9,30,0,0
17.4,81,1016.8,28,0,1
14.2,65,1020.6,26,1,0
14.6,77,1022.4,22,0,0
14.8,80,1017.9,33,0,1
15.6,81,1016.2,35,1,0
15,73,1019.8,26,0,0
17.1,70,1017.2,39,0,1
17.6,95,1010.7,33,1,1
15.5,78,1011.3,52,1,1
12.5,79,1016.5,35,1,0
12.1,73,1016.3,44,0,0
14.4,63,1019.3,35,0,0
13.3,61,1020.8,33,0,0
15,53,1023,44,0,0
14.4,59,1022.6,31,0,0
15.9,73,1018.3,54,0,1
19.4,71,1013.8,31,1,0
18.4,69,1024.3,46,0,0
21.5,76,1019.9,46,0,0
20.6,73,1014.3,28,0,0
24.4,60,1012.5,41,0,0
24.4,63,1012.1,61,0,1
19.2,93,1013.9,26,1,1
16.7,84,1014.3,37,1,0
15.8,56,1015.4,33,0,0
15.6,65,1017.5,43,0,0
16,68,1015.7,37,0,0
17.1,56,1020.9,26,0,0
18.3,63,1026,26,0,0
20,70,1022.1,22,0,0
22,59,1022.7,26,0,0
23.2,49,1023.5,31,0,0
24,46,1021.8,35,0,0
23.9,47,1018.2,44,0,1
18.5,92,1018.1,39,1,1
20.6,77,1012.6,44,1,1
18.5,86,1007.6,44,1,1
16.6,69,1013.6,43,1,1
17.4,69,1015,35,1,1
19.6,72,1014.1,24,1,0
21.3,70,1015,50,0,1
21.3,71,1014.6,41,1,1
22.5,65,1012.6,44,1,0
23.1,63,1011.5,28,0,0
23.3,63,1012.7,43,0,0
25.5,50,1011.5,43,0,1
21.4,82,1009.4,61,1,1
20.5,85,1009.1,39,1,0
19.1,59,1010.1,46,0,0
15.6,59,1009.2,43,0,0
17.7,54,1005.6,46,0,0
17,65,1014.3,33,0,0
18.6,67,1015,24,0,0
24.3,57,1008.7,35,0,0
17.6,72,1004.6,43,0,0
17.7,62,1005.3,46,0,0
16.9,64,1002.4,76,0,1
15,71,998.8,61,1,1
10.8,79,1002.3,52,1,1
14.3,68,1010.5,41,1,0
16.6,71,1018.4,28,0,0
19.8,62,1018.1,41,0,0
20.6,47,1022.3,31,0,0
23.2,60,1014.6,35,0,0
22.2,75,1005.4,43,0,0
16.3,57,1006.7,57,0,0
15.1,49,1016.8,37,0,0
21.9,57,1015.6,30,0,0
21.7,55,1015.8,41,0,0
23.3,55,1014.3,46,0,0
26.8,46,1011.1,26,0,0
25.1,45,1010.9,35,0,0
20.2,56,1011.8,35,0,0
19.9,53,1011.6,24,0,0
22,57,1006.2,31,0,0
21.4,48,1010.3,30,0,0
23.4,51,1012.7,26,0,0
22.9,66,1012,31,0,0
26.7,55,1013.8,61,0,1
24.1,68,1013.6,37,1,1
22.5,81,1011.7,37,1,1
25.5,66,1006.9,44,1,1
24.4,86,1009.5,41,1,1
24.5,61,1006,52,1,1
22.3,83,1009.4,24,1,0
23.8,71,1009.7,31,0,0
21.6,70,1004.4,48,0,0
17.9,64,1007.4,28,0,0
19.1,70,1009.1,28,0,0
21.4,63,1011.8,22,0,0
24.9,60,1012.4,37,0,0
25.3,60,1013.6,43,0,0
24.6,53,1010.4,39,0,0
22.2,68,1002.5,35,0,0
21.1,60,1008,28,0,0
25.1,63,1008.2,39,0,0
19.8,60,1014.5,39,0,0
20.6,56,1017.8,28,0,0
21.5,59,1018.9,35,0,0
23,68,1019,28,0,0
25.3,56,1015.3,24,0,0
27.2,57,1009,61,0,0
25.4,77,1014.1,41,0,1
25.8,74,1012.3,31,1,1
24.8,80,1012.7,81,1,1
22.5,97,1008.6,28,1,1
14.7,81,1017,43,1,0
14.5,58,1023.6,26,0,0
18.5,66,1018.7,22,0,0
18.7,66,1022,20,0,0
19.8,79,1020.1,28,0,1
20.4,98,1013.4,54,1,1
19.6,88,1014.2,28,1,0
20.6,73,1017.6,24,0,0
19.4,57,1022.2,20,0,0
20.5,69,1022.3,24,0,0
20.7,80,1017.6,31,0,1
19.9,90,1012.9,30,1,0
22,68,1013.7,52,0,1
22.1,91,1005.2,59,1,1
19.4,80,1010.1,43,1,0
13.6,62,1015.2,41,0,0
15,53,1022.1,69,0,0
16.8,66,1024,28,0,0
18.9,76,1019.2,28,0,0
19.2,75,1014.1,24,0,0
19.6,70,1011.3,33,0,0
20.4,87,1009.9,20,0,1
20.4,85,1007.8,20,1,0
16,82,1006.5,44,0,0
13,67,1015.8,24,0,0
13.4,77,1012.9,37,0,0
13.2,79,1014.3,33,0,0
15.6,58,1020.6,30,0,0
15,68,1025.8,22,0,0
16.2,73,1023.9,31,0,0
16.8,71,1017.5,30,0,0
22.3,61,1014.8,30,0,1
19.8,92,1012.3,22,1,1
19,90,1015.4,30,1,0
19.8,88,1018.8,37,0,0
21.8,87,1019.8,54,0,1
19.6,96,1021.3,19,1,0
19.4,81,1020.3,24,0,0
19.8,87,1017.3,30,0,0
15.4,84,1018.7,22,0,0
16.2,77,1015.4,20,0,0
17.4,74,1013.9,24,0,0
19.4,71,1011.9,57,0,0
19.3,75,1005.4,30,0,0
20.1,82,1001.4,37,0,0
16.4,76,1005.7,37,0,1
15.7,90,1003.7,44,1,0
14.9,77,1011.8,43,0,0
15.1,67,1020.8,26,0,0
13.9,69,1025.3,19,0,0
